,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
8839,Pet Shop Boys,Love Comes Quickly - 2018 Remastered Version,4789vxAh2p3QrPtdWgeHK0,39,0.598,0.808,7,-7.769,1,0.0272,0.236,0.000514,0.377,0.672,107.951,259493,4
8840,Metallica,"When A Blind Man Cries (Live at The Masonic, San Francisco, CA - November 3rd, 2018)",2NekeB2yqC2ZibAYNdncbz,30,0.401,0.641,10,-8.174,0,0.0459,0.0128,0.0,0.458,0.279,77.762,274037,4
8841,Metallica,"When A Blind Man Cries (Live at The Masonic, San Francisco, CA - November 3rd, 2018)",2NekeB2yqC2ZibAYNdncbz,30,0.401,0.641,10,-8.174,0,0.0459,0.0128,0.0,0.458,0.279,77.762,274037,4
8842,Metallica,"When A Blind Man Cries (Live at The Masonic, San Francisco, CA - November 3rd, 2018)",2NekeB2yqC2ZibAYNdncbz,30,0.401,0.641,10,-8.174,0,0.0459,0.0128,0.0,0.458,0.279,77.762,274037,4
8843,Metallica,"When A Blind Man Cries (Live at The Masonic, San Francisco, CA - November 3rd, 2018)",2NekeB2yqC2ZibAYNdncbz,30,0.401,0.641,10,-8.174,0,0.0459,0.0128,0.0,0.458,0.279,77.762,274037,4
8844,Megadeth,Mechanix - Remastered 2018,7GsOxdMJVzlmpTnn4pJpTs,37,0.306,0.998,9,-3.778,1,0.29,8.66e-06,0.786,0.31,0.0383,128.893,264307,4
8845,Megadeth,Mechanix - Remastered 2018,7GsOxdMJVzlmpTnn4pJpTs,37,0.306,0.998,9,-3.778,1,0.29,8.66e-06,0.786,0.31,0.0383,128.893,264307,4
8846,Megadeth,Mechanix - Remastered 2018,7GsOxdMJVzlmpTnn4pJpTs,37,0.306,0.998,9,-3.778,1,0.29,8.66e-06,0.786,0.31,0.0383,128.893,264307,4
8847,Megadeth,Mechanix - Remastered 2018,7GsOxdMJVzlmpTnn4pJpTs,37,0.306,0.998,9,-3.778,1,0.29,8.66e-06,0.786,0.31,0.0383,128.893,264307,4
8848,JoJo,Yes or No - 2018,1u4sLfI8eYpM8n25271Dvq,31,0.684,0.767,11,-4.822,0,0.415,0.0385,0.0,0.118,0.887,89.964,175747,4
8849,JoJo,Yes or No - 2018,1u4sLfI8eYpM8n25271Dvq,31,0.684,0.767,11,-4.822,0,0.415,0.0385,0.0,0.118,0.887,89.964,175747,4
8850,JoJo,Yes or No - 2018,1u4sLfI8eYpM8n25271Dvq,31,0.684,0.767,11,-4.822,0,0.415,0.0385,0.0,0.118,0.887,89.964,175747,4
8851,JoJo,Yes or No - 2018,1u4sLfI8eYpM8n25271Dvq,31,0.684,0.767,11,-4.822,0,0.415,0.0385,0.0,0.118,0.887,89.964,175747,4
8852,Whitesnake,Looking for Love - 2018 Remaster,5f0GN65T6l4pSiiGCd5sFW,27,0.364,0.82,4,-8.672,0,0.0756,0.00485,0.000249,0.332,0.227,130.514,391079,4
8853,Whitesnake,Looking for Love - 2018 Remaster,5f0GN65T6l4pSiiGCd5sFW,27,0.364,0.82,4,-8.672,0,0.0756,0.00485,0.000249,0.332,0.227,130.514,391079,4
8854,Whitesnake,Looking for Love - 2018 Remaster,5f0GN65T6l4pSiiGCd5sFW,27,0.364,0.82,4,-8.672,0,0.0756,0.00485,0.000249,0.332,0.227,130.514,391079,4
8855,Whitesnake,Looking for Love - 2018 Remaster,5f0GN65T6l4pSiiGCd5sFW,27,0.364,0.82,4,-8.672,0,0.0756,0.00485,0.000249,0.332,0.227,130.514,391079,4
8856,Eagles,One of These Nights - Single Version; 2018 Remaster,603KXhZ58l2fqgiyuIsEj8,33,0.698,0.583,7,-11.622,1,0.0319,0.0592,0.0234,0.415,0.824,109.9,213773,4
8857,Eagles,One of These Nights - Single Version; 2018 Remaster,603KXhZ58l2fqgiyuIsEj8,33,0.698,0.583,7,-11.622,1,0.0319,0.0592,0.0234,0.415,0.824,109.9,213773,4
8858,Eagles,One of These Nights - Single Version; 2018 Remaster,603KXhZ58l2fqgiyuIsEj8,33,0.698,0.583,7,-11.622,1,0.0319,0.0592,0.0234,0.415,0.824,109.9,213773,4
8859,Eagles,One of These Nights - Single Version; 2018 Remaster,603KXhZ58l2fqgiyuIsEj8,33,0.698,0.583,7,-11.622,1,0.0319,0.0592,0.0234,0.415,0.824,109.9,213773,4
8860,Led Zeppelin,Dazed and Confused - Live 1972; 2018 Remaster,4CQIIdtrzVaPvfz9byC0zJ,33,0.336,0.849,2,-9.195,1,0.188,0.00569,0.37,0.717,0.184,130.658,1525320,4
8861,Led Zeppelin,Dazed and Confused - Live 1972; 2018 Remaster,4CQIIdtrzVaPvfz9byC0zJ,33,0.336,0.849,2,-9.195,1,0.188,0.00569,0.37,0.717,0.184,130.658,1525320,4
8862,Led Zeppelin,Dazed and Confused - Live 1972; 2018 Remaster,4CQIIdtrzVaPvfz9byC0zJ,33,0.336,0.849,2,-9.195,1,0.188,0.00569,0.37,0.717,0.184,130.658,1525320,4
8863,Led Zeppelin,Dazed and Confused - Live 1972; 2018 Remaster,4CQIIdtrzVaPvfz9byC0zJ,33,0.336,0.849,2,-9.195,1,0.188,0.00569,0.37,0.717,0.184,130.658,1525320,4
8864,Bruno & Marrone,Show De Recaída - Ao Vivo Em Uberlândia / 2018,2M53M7wYGFjUMlHIXhJoqW,60,0.783,0.756,8,-4.181,1,0.035,0.258,0.0,0.116,0.79,114.987,172512,4
8865,Bruno & Marrone,Show De Recaída - Ao Vivo Em Uberlândia / 2018,2M53M7wYGFjUMlHIXhJoqW,60,0.783,0.756,8,-4.181,1,0.035,0.258,0.0,0.116,0.79,114.987,172512,4
8866,Bruno & Marrone,Show De Recaída - Ao Vivo Em Uberlândia / 2018,2M53M7wYGFjUMlHIXhJoqW,60,0.783,0.756,8,-4.181,1,0.035,0.258,0.0,0.116,0.79,114.987,172512,4
8867,Bruno & Marrone,Show De Recaída - Ao Vivo Em Uberlândia / 2018,2M53M7wYGFjUMlHIXhJoqW,60,0.783,0.756,8,-4.181,1,0.035,0.258,0.0,0.116,0.79,114.987,172512,4
8868,Kid Rock,Johnny Cash - 2018 Remaster,75gmlgsVWM1m8l44uTT6Jl,29,0.621,0.879,7,-3.515,1,0.0798,0.00777,3.98e-05,0.302,0.72,172.057,282307,4
8869,Kid Rock,Johnny Cash - 2018 Remaster,75gmlgsVWM1m8l44uTT6Jl,29,0.621,0.879,7,-3.515,1,0.0798,0.00777,3.98e-05,0.302,0.72,172.057,282307,4
8870,Kid Rock,Johnny Cash - 2018 Remaster,75gmlgsVWM1m8l44uTT6Jl,29,0.621,0.879,7,-3.515,1,0.0798,0.00777,3.98e-05,0.302,0.72,172.057,282307,4
8871,Kid Rock,Johnny Cash - 2018 Remaster,75gmlgsVWM1m8l44uTT6Jl,29,0.621,0.879,7,-3.515,1,0.0798,0.00777,3.98e-05,0.302,0.72,172.057,282307,4
8872,BodyHI,Pink Noise for Baby Sleep,060w5TOqCiGmjMuVjbmG4a,44,0.0,0.193,1,-18.41,1,0.0,0.951,0.0496,0.104,0.0,0.0,170000,0
8873,BodyHI,Pink Noise for Baby Sleep,060w5TOqCiGmjMuVjbmG4a,44,0.0,0.193,1,-18.41,1,0.0,0.951,0.0496,0.104,0.0,0.0,170000,0
