,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
8943,Pet Shop Boys,Go West - 2018 Remaster; Hidden Track,0IivDxXQl7iF32i5yFy5e4,42,0.412,0.176,5,-7.284,1,0.0479,0.0108,0.000262,0.363,0.0377,120.699,503827,4
8944,Kid Rock,Only God Knows Why - 2018 Remaster,13zMtxbXm69chQRZTNPXCv,29,0.62,0.753,4,-5.074,1,0.0289,0.0331,0.000288,0.187,0.315,129.172,328413,4
8945,Kid Rock,Only God Knows Why - 2018 Remaster,13zMtxbXm69chQRZTNPXCv,29,0.62,0.753,4,-5.074,1,0.0289,0.0331,0.000288,0.187,0.315,129.172,328413,4
8946,Kid Rock,Only God Knows Why - 2018 Remaster,13zMtxbXm69chQRZTNPXCv,29,0.62,0.753,4,-5.074,1,0.0289,0.0331,0.000288,0.187,0.315,129.172,328413,4
8947,Kid Rock,Only God Knows Why - 2018 Remaster,13zMtxbXm69chQRZTNPXCv,29,0.62,0.753,4,-5.074,1,0.0289,0.0331,0.000288,0.187,0.315,129.172,328413,4
8948,Kid Rock,Only God Knows Why - 2018 Remaster,13zMtxbXm69chQRZTNPXCv,29,0.62,0.753,4,-5.074,1,0.0289,0.0331,0.000288,0.187,0.315,129.172,328413,4
8949,Kid Rock,Only God Knows Why - 2018 Remaster,13zMtxbXm69chQRZTNPXCv,29,0.62,0.753,4,-5.074,1,0.0289,0.0331,0.000288,0.187,0.315,129.172,328413,4
8950,Kid Rock,Only God Knows Why - 2018 Remaster,13zMtxbXm69chQRZTNPXCv,29,0.62,0.753,4,-5.074,1,0.0289,0.0331,0.000288,0.187,0.315,129.172,328413,4
8951,Kid Rock,Only God Knows Why - 2018 Remaster,13zMtxbXm69chQRZTNPXCv,29,0.62,0.753,4,-5.074,1,0.0289,0.0331,0.000288,0.187,0.315,129.172,328413,4
8952,Kid Rock,Only God Knows Why - 2018 Remaster,13zMtxbXm69chQRZTNPXCv,29,0.62,0.753,4,-5.074,1,0.0289,0.0331,0.000288,0.187,0.315,129.172,328413,4
8953,Blackberry Smoke,"Nobody Gives A Damn - Live at The Tabernacle, Atlanta, 2018",0Mr5dcQPvNCdeXsXg0ybQV,30,0.355,0.887,9,-6.287,1,0.0452,4.14e-05,0.342,0.89,0.378,128.439,201953,4
8954,Blackberry Smoke,"Nobody Gives A Damn - Live at The Tabernacle, Atlanta, 2018",0Mr5dcQPvNCdeXsXg0ybQV,30,0.355,0.887,9,-6.287,1,0.0452,4.14e-05,0.342,0.89,0.378,128.439,201953,4
8955,Blackberry Smoke,"Nobody Gives A Damn - Live at The Tabernacle, Atlanta, 2018",0Mr5dcQPvNCdeXsXg0ybQV,30,0.355,0.887,9,-6.287,1,0.0452,4.14e-05,0.342,0.89,0.378,128.439,201953,4
8956,Blackberry Smoke,"Nobody Gives A Damn - Live at The Tabernacle, Atlanta, 2018",0Mr5dcQPvNCdeXsXg0ybQV,30,0.355,0.887,9,-6.287,1,0.0452,4.14e-05,0.342,0.89,0.378,128.439,201953,4
8957,Blackberry Smoke,"Nobody Gives A Damn - Live at The Tabernacle, Atlanta, 2018",0Mr5dcQPvNCdeXsXg0ybQV,30,0.355,0.887,9,-6.287,1,0.0452,4.14e-05,0.342,0.89,0.378,128.439,201953,4
8958,Blackberry Smoke,"Nobody Gives A Damn - Live at The Tabernacle, Atlanta, 2018",0Mr5dcQPvNCdeXsXg0ybQV,30,0.355,0.887,9,-6.287,1,0.0452,4.14e-05,0.342,0.89,0.378,128.439,201953,4
8959,Blackberry Smoke,"Nobody Gives A Damn - Live at The Tabernacle, Atlanta, 2018",0Mr5dcQPvNCdeXsXg0ybQV,30,0.355,0.887,9,-6.287,1,0.0452,4.14e-05,0.342,0.89,0.378,128.439,201953,4
8960,Blackberry Smoke,"Nobody Gives A Damn - Live at The Tabernacle, Atlanta, 2018",0Mr5dcQPvNCdeXsXg0ybQV,30,0.355,0.887,9,-6.287,1,0.0452,4.14e-05,0.342,0.89,0.378,128.439,201953,4
8961,Blackberry Smoke,"Nobody Gives A Damn - Live at The Tabernacle, Atlanta, 2018",0Mr5dcQPvNCdeXsXg0ybQV,30,0.355,0.887,9,-6.287,1,0.0452,4.14e-05,0.342,0.89,0.378,128.439,201953,4
8962,The Doors,"Hello, I Love You - 2018 Remaster",3l5R0ltI7UufbrjK6Kj0Nv,36,0.63,0.524,2,-13.34,1,0.0391,0.00921,0.0,0.0933,0.961,118.187,136173,4
8963,The Doors,"Hello, I Love You - 2018 Remaster",3l5R0ltI7UufbrjK6Kj0Nv,36,0.63,0.524,2,-13.34,1,0.0391,0.00921,0.0,0.0933,0.961,118.187,136173,4
