,artist_name,followers,genre,popularity,ID
42,Petit Biscuit,"{'href': None, 'total': 711822}","['new french touch', 'tropical house']",71,6gK1Uct5FEdaUWRWpU4Cl2
43,Above & Beyond,"{'href': None, 'total': 575768}","['edm', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']",69,10gzBoINW3cLJfZUka8Zoe
44,Lentra,"{'href': None, 'total': 8347}",['canadian hip hop'],67,484bfoveqgHfx2VhNY4zzT
45,Iron Maiden,"{'href': None, 'total': 5216380}","['album rock', 'hard rock', 'metal', 'nwobhm', 'rock']",75,6mdiAmATAx73kdxrNrnlao
46,Louis Tomlinson,"{'href': None, 'total': 3041126}","['dance pop', 'pop', 'post-teen pop']",74,57WHJIHrjOE3iAxpihhMnp
47,Grupo Bryndis,"{'href': None, 'total': 769238}","['banda', 'cumbia', 'grupera', 'gruperas inmortales', 'norteno', 'regional mexican']",68,44WCHvwXBOMz6nm7Mu2ReO
48,Maggie Lindemann,"{'href': None, 'total': 1032047}","['dance pop', 'pop', 'post-teen pop', 'social media pop', 'viral pop']",70,0uGk2czvcpWQA383Im6ajf
49,Alanis Morissette,"{'href': None, 'total': 1550234}","['alternative rock', 'canadian pop', 'canadian singer-songwriter', 'pop rock', 'singer-songwriter']",71,6ogn9necmbUdCppmNnGOdi
50,Armin van Buuren,"{'href': None, 'total': 3388077}","['edm', 'progressive house', 'trance']",78,0SfsnGyD8FpIN4U4WCkBZ5
51,Seeb,"{'href': None, 'total': 140760}","['dance pop', 'edm', 'electro house', 'norwegian pop', 'pop', 'pop edm', 'swedish pop', 'tropical house']",75,5iNrZmtVMtYev5M9yoWpEq
52,The Piano Guys,"{'href': None, 'total': 1014949}","['bow pop', 'classify']",69,0jW6R8CVyVohuUJVcuweDI
53,j'san,"{'href': None, 'total': 36750}","['chillhop', 'lo-fi beats']",69,5iMUho98faEp2w6j5p44PH
54,Auli'i Cravalho,"{'href': None, 'total': 45030}","['disney', 'hollywood', 'movie tunes', 'show tunes']",68,5mnS9jJdKQQcRSqFu5YPVe
55,Hillsong Young & Free,"{'href': None, 'total': 735753}","['ccm', 'christian music', 'world worship', 'worship']",68,7m4gF38CPATtHrk5HS42WZ
56,Rafa Pabön,"{'href': None, 'total': 57546}",['reggaeton flow'],79,11YLRSsZA3YVuQQtHXKTlz
57,Cigarettes After Sex,"{'href': None, 'total': 1410182}","['dream pop', 'el paso indie', 'shoegaze']",73,1QAJqy2dA3ihHBFIHRphZj
